definition,lib,category,uuid,axes,regime,latency_us,mfu,mfu_ceiling,bandwidth_utilization,sol_efficiency,ai,t_sol_us,flops,bytes,peak
021_vision_cu_seqlens_variable_length_attention,torch,L1,0e18aac8-79eb-5967-b7a0-c707abb41b9a,"{""total_seq_len"": 192, ""num_seqs"": 3}",memory,253.41439247131348,0.010292181875519668,0.28067904848065567,0.036668864068167176,0.03666886406816717,82.86315789473684,9.29241791044776,2579496960.0,31129600,989000000000000.0
023_multimodal_rope_position_computation_with_grid_based_indexing,torch,Contest,49c26ebb-7c8a-5ca0-ba8c-aa7e23768761,"{""num_images"": 4, ""total_tokens"": 64}",latency,2081.4005533854165,7.95917368557678e-08,6.949923849669792e-05,0.0011452173948574903,0.00114521739485749,0.02051783488753261,2.383656119402985,163840,7985248,989000000000000.0
023_multimodal_rope_position_computation_with_grid_based_indexing,torch,Contest,0cd82c0f-70c2-5de1-ade3-78b4b8770979,"{""num_images"": 16, ""total_tokens"": 4096}",memory,6968.1549072265625,1.5215485863755026e-06,0.0009628887864960321,0.0015801914070600433,0.0015801914070600433,0.2842677641327092,11.011018507462687,10485760,36886912,989000000000000.0
023_multimodal_rope_position_computation_with_grid_based_indexing,torch,Contest,00c2918b-c9d7-5bf2-b42c-0a783d46b981,"{""num_images"": 7, ""total_tokens"": 112}",latency,3277.696990966797,8.844899323758583e-08,0.0001165986760380768,0.0007585763084368274,0.0007585763084368272,0.03442271361243521,2.4863832835820894,286720,8329384,989000000000000.0
023_rmsnorm_h1536,flashinfer,FlashInfer-Bench,a31ba22f-b640-4013-a369-daff2137fbe5,"{""batch_size"": 7}",latency,14.276267091433207,3.8075735738394286e-06,0.00395180316818335,0.0009635028395378751,0.000963502839537875,1.1666666666666667,0.013755223880597014,53760,46080,989000000000000.0
023_rmsnorm_h1536,flashinfer,FlashInfer-Bench,487a514f-e33b-4247-a42a-4abe569fec45,"{""batch_size"": 539}",latency,15.777066349983215,0.0002652940084077402,0.00423015075000164,0.06271502461410798,0.06271502461410797,1.2488415199258573,0.9894591044776119,4139520,3314688,989000000000000.0
023_rmsnorm_h1536,flashinfer,FlashInfer-Bench,c2c0808b-f368-434a-bbd7-09c79cec998b,"{""batch_size"": 64}",latency,11.67680025100708,4.256190435103498e-05,0.004201252537603561,0.010130765520539913,0.010130765520539913,1.2403100775193798,0.11829492537313432,491520,396288,989000000000000.0
026_rmsnorm_h7168,flashinfer,FlashInfer-Bench,98773f58-2d55-497d-a79d-df0bca20e369,"{""batch_size"": 7}",latency,10.57493289311727,2.3987894455611173e-05,0.00395180316818335,0.006070113675888985,0.006070113675888984,1.1666666666666667,0.0641910447761194,250880,215040,989000000000000.0
026_rmsnorm_h7168,flashinfer,FlashInfer-Bench,e8073f61-7ae6-44d0-9b13-29199e6c5595,"{""batch_size"": 539}",latency,11.58506671587626,0.0016860169462906923,0.00423015075000164,0.3985713620939014,0.39857136209390137,1.2488415199258573,4.617475820895522,19317760,15468544,989000000000000.0
026_rmsnorm_h7168,flashinfer,FlashInfer-Bench,d1ebd937-923e-44b2-8e4e-3e9194aa8d09,"{""batch_size"": 64}",latency,10.32319962978363,0.00022466600231382258,0.004201252537603561,0.05347595753955186,0.05347595753955185,1.2403100775193798,0.5520429850746268,2293760,1849344,989000000000000.0
027_grouped_query_attention_with_yarn_rope_and_qk_norm,torch,L2,40bf5a7e-da47-56be-bf8b-5db663938e00,"{""batch_size"": 64, ""seq_len"": 128}",compute,1572.115198771159,0.6771326119480218,1.0,0.24210540725340632,0.6771326119480218,825.6970368648181,1064.5304708270983,1052820635648,1275068928,989000000000000.0
027_grouped_query_attention_with_yarn_rope_and_qk_norm,torch,L2,c83efaae-9d30-57b8-afd4-4df563ba5372,"{""batch_size"": 16, ""seq_len"": 256}",compute,837.3578389485677,0.6486140735414009,1.0,0.24970129565631924,0.6486140735414009,766.8617149038971,543.1220789322548,537147736064,700449280,989000000000000.0
027_grouped_query_attention_with_yarn_rope_and_qk_norm,torch,L2,ec04b737-1a75-5668-9bb6-ff0af43f6350,"{""batch_size"": 2, ""seq_len"": 2048}",compute,1213.3995056152344,0.5728681155525008,1.0,0.17231697915305932,0.5728681155525008,981.4723364752406,695.1178881941355,687471591424,700449280,989000000000000.0
029_moe_sparse_routing_and_dispatch,torch,Contest,fa80d7cb-5de2-5e51-9afe-132808bba59b,"{""batch_size"": 4, ""seq_len"": 1024}",balanced,9983.969116210938,0.7313001545576256,1.0,0.43018322124516667,0.7313001545576258,501.8728273147979,7301.27815778362,7220964098048,14388035584,989000000000000.0
029_moe_sparse_routing_and_dispatch,torch,Contest,46128b79-755a-55b9-8b9f-c8d8687b8aac,"{""batch_size"": 1, ""seq_len"": 8192}",compute,19220.035807291668,0.7597569776653248,1.0,0.26633295472972807,0.7597569776653249,842.172924055277,14602.55631556724,14441928196096,17148411904,989000000000000.0
029_moe_sparse_routing_and_dispatch,torch,Contest,824f8e71-54c4-50ce-baa5-93ab825fcaec,"{""batch_size"": 32, ""seq_len"": 256}",compute,19047.55859375,0.7666366397402089,1.0,0.2687446215940146,0.766636639740209,842.172924055277,14602.55631556724,14441928196096,17148411904,989000000000000.0
043_mla_fused_qkv_rope_split,flashinfer,L1,8c17ec2a-7114-5acc-a716-940b57cf47a9,"{""batch_size"": 4, ""seq_len"": 373}",compute,204.9440066019694,0.7786679542764843,1.0,0.2945413985469441,0.7786679542764844,780.4722062572949,159.5833303619818,157827913728,202221056,989000000000000.0
043_mla_fused_qkv_rope_split,flashinfer,L1,1e00a229-e356-5323-8dd0-4afdf92a5960,"{""batch_size"": 4, ""seq_len"": 512}",compute,272.8938738505046,0.8027029646303542,1.0,0.2605144768294254,0.8027029646303541,909.6503467638953,219.05272156926188,216643141632,238160896,989000000000000.0
043_mla_fused_qkv_rope_split,flashinfer,L1,a31bea01-9e49-5fa7-90ab-c10d1e5df03f,"{""batch_size"": 16, ""seq_len"": 256}",compute,537.6245498657227,0.8148910670986754,1.0,0.20573843708307532,0.8148910670986754,1169.3259971425334,438.10544313852375,433286283264,370543616,989000000000000.0
044_moe_expert_computation,torch,Contest,efbebdf7-3ac7-53b5-aa54-7844aa4f8c83,"{""num_tokens"": 2048}",memory,21602.008056640625,0.06791649922202932,0.20898450176679864,0.3249834253155093,0.3249834253155093,61.69721559622801,7020.294571940299,1450994302976,23517986816,989000000000000.0
044_moe_expert_computation,torch,Contest,d19aa4df-f5fa-5123-a75c-2d8876a9c174,"{""num_tokens"": 2272}",memory,21886.138916015625,0.07436672204323842,0.23080555177907153,0.32220508332669007,0.32220508332669,68.13931065955276,7051.825213134328,1609696804864,23623614464,989000000000000.0
044_moe_expert_computation,torch,Contest,8f1dffcb-7f3d-5ddc-b2f0-0202e8552f64,"{""num_tokens"": 6144}",balanced,24358.567301432293,0.18069200194136656,0.5793711169374315,0.31187609575104214,0.31187609575104214,171.04418944809544,7596.854868059701,4352982908928,25449463808,989000000000000.0
048_fused_gate_up_projection_with_swiglu,flashinfer,Contest,bee6b47b-d132-521a-aa83-5c457ea5972d,"{""batch_size"": 2, ""seq_len"": 1321}",compute,623.0666478474935,1.2951968129800369,1.0,0.2146733378796813,1.2951968129800369,1781.1854655148773,806.9939365662285,798117003264,448081920,989000000000000.0
048_fused_gate_up_projection_with_swiglu,flashinfer,Contest,dc55324a-da5e-5edc-8044-6e18ed367498,"{""batch_size"": 16, ""seq_len"": 512}",compute,1838.5557810465496,1.3609763901475873,1.0,0.12257750914221273,1.3609763901475873,3277.866666666667,2502.231009973711,2474706468864,754974720,989000000000000.0
048_fused_gate_up_projection_with_swiglu,flashinfer,Contest,a28fb2fc-55d2-5d05-88aa-5c5cb8ba446b,"{""batch_size"": 4, ""seq_len"": 2048}",compute,1907.5380961100261,1.3117593903243245,1.0,0.11814473772203105,1.3117593903243248,3277.866666666667,2502.231009973711,2474706468864,754974720,989000000000000.0
048_fused_gate_up_projection_with_swiglu,liger,L1,bee6b47b-d132-521a-aa83-5c457ea5972d,"{""batch_size"": 2, ""seq_len"": 1321}",compute,681.2309265136719,1.1846114219977837,1.0,0.19634428181269742,1.1846114219977837,1781.1854655148773,806.9939365662285,798117003264,448081920,989000000000000.0
048_fused_gate_up_projection_with_swiglu,liger,L1,dc55324a-da5e-5edc-8044-6e18ed367498,"{""batch_size"": 16, ""seq_len"": 512}",compute,1926.4330546061199,1.2988933116522543,1.0,0.11698594328043231,1.2988933116522543,3277.866666666667,2502.231009973711,2474706468864,754974720,989000000000000.0
048_fused_gate_up_projection_with_swiglu,liger,L1,a28fb2fc-55d2-5d05-88aa-5c5cb8ba446b,"{""batch_size"": 4, ""seq_len"": 2048}",compute,1978.0031840006511,1.2650288079480096,1.0,0.11393590762775402,1.2650288079480094,3277.866666666667,2502.231009973711,2474706468864,754974720,989000000000000.0
049_attention_qk_matmul_with_gqa_repeat_and_scaling,torch,Contest,d13e3a10-b016-508a-a3a9-01b95c07abd5,"{""batch_size"": 2, ""seq_len"": 773}",latency,77.23946571350098,0.03203932687160799,0.6132644820380082,0.05224389771462794,0.052243897714627945,181.05032021957913,4.035290746268657,2447478784,13518224,989000000000000.0
